ZONEID,TIMESTAMP,VAR78,VAR79,VAR134,VAR157,VAR164,VAR165,VAR166,VAR167,VAR169,VAR175,VAR178,VAR228,POWER
2,20120401 01:00,0.001478577,0.005443573,94290.625,57.37425232,0.190966487,0.857937813,-2.801623344,294.3933105,2595302,1192092,2884677,0,0.647327935
2,20120401 02:00,0.018303726,0.101552665,94217.6875,57.129776,0.517135203,2.594071388,-2.653242111,294.9624023,5374973,2420485,5984578,0,0.621821862
2,20120401 03:00,0.035255432,0.112935305,94201.0625,63.07614136,0.705221534,2.881370544,-1.647818565,293.876709,7858492,3643656,8929064,0.001256347,0.472692308
2,20120401 04:00,0.06451416,0.107761383,94156.0625,62.97547913,0.993362546,3.024803162,-1.496831894,293.0712891,9719720,4885120,11258463,0.001725674,0.098866397
2,20120401 05:00,0.059495185,0.157592773,94124.25,65.05384827,0.937603831,2.521555901,-1.836622238,292.5444336,11054009,6211372,13079318,0.002093077,0.104392713
2,20120401 06:00,0.049004629,0.097633362,94132.4375,69.30958557,0.724117041,1.072137833,-1.826086998,291.8586426,11728855,7502223,14179175,0.002279043,0.072631579
2,20120401 07:00,0.038781747,0.123748779,94162.8125,78.61904907,0.601546288,1.473792076,-1.286085129,290.7595215,12161695,8742745,14882846,0.002907753,0.295607287
2,20120401 08:00,0.023600847,0.0782547,94180.3125,85.456604,0.671868026,1.742136002,-1.630421638,288.8383789,12242234,9966479,15069943,0.002963543,0.107631579
2,20120401 09:00,0.035899207,0.048423767,94236.5625,89.03372192,0.49878031,1.474666595,-1.038693428,287.262207,12242234,11131812,15069943,0.002991676,0
2,20120401 10:00,0.021158352,0.019645691,94268.25,90.8657074,0.437388897,1.116461754,-0.802023888,286.6308594,12242234,12309732,15069943,0.003005981,0
2,20120401 11:00,0.015702412,0.003112793,94302.125,91.77285767,0.170934439,1.131028175,-0.398347855,286.1867676,12242234,13426247,15070071,0.003009319,0
2,20120401 12:00,0.000717163,0,94289.0625,95.56611633,0.017608643,1.114429474,-0.971816063,284.5163574,12242234,14539733,15070071,0.003009319,0
2,20120401 13:00,0.000465393,0,94256.875,97.12770081,0.215148926,1.286160469,-0.845743179,283.963623,12242234,15622494,15070071,0.003009319,0
2,20120401 14:00,0.000976563,0,94212.875,97.25369263,0.212127686,0.33143425,-0.015220642,284.0021973,12242234,16683805,15070071,0.003009319,0
2,20120401 15:00,0.004440308,0,94193.875,98.07168579,0.316955566,-0.365973473,1.022372246,282.7304688,12242234,17740992,15070071,0.003009319,0
2,20120401 16:00,0.00932312,0,94184.3125,99.17173767,0.702514648,-0.177327156,1.373436928,282.498291,12242234,18824160,15070071,0.003010273,0
2,20120401 17:00,0.022979736,0,94166.5,98.36235046,0.670440674,-0.137935638,1.469595909,282.9372559,12242234,19982576,15070071,0.003011227,0
2,20120401 18:00,0.043365479,0,94156.9375,98.13922119,0.747070313,-0.101554871,1.437298775,283.0632324,12242234,21152192,15070071,0.003018856,0
2,20120401 19:00,0.045631409,0,94189.3125,97.90304565,0.59677124,0.022494316,1.348879814,283.1921387,12242234,22337008,15070071,0.003027439,0
2,20120401 20:00,0.046165466,0,94205.0625,97.05052185,0.549621582,-0.072890282,1.276432991,282.9492188,12242234,23488640,15070071,0.003037453,0
2,20120401 21:00,0.054893494,0,94223.75,96.67506409,0.557128906,0.163086891,1.162240028,283.3188477,12309361,24572944,15197717,0.003047466,0.007732794
2,20120401 22:00,0.057033539,0,94241.6875,91.59381104,0.671722412,-0.297057152,0.650476456,286.125,12865974,25766800,15957178,0.003061771,0.074797571
2,20120401 23:00,0.042579651,0,94229.25,79.99183655,0.839569092,-0.776545525,-0.010245323,288.331543,13971432,26984192,17366128,0.003070354,0.151862348
2,20120402 00:00,0.094696045,0,94185.375,69.06477356,0.962417603,0.045717239,-0.590395927,290.2565918,15553673,28299504,19306416,0.003103733,0.256842105
2,20120402 01:00,0.118278503,0,94202.0625,71.2323761,0.846054077,0.562185288,-1.897343636,291.1362305,1482034,1327682,1994930,0.000224903,0.418502024
2,20120402 02:00,0.077297211,0,94131.375,64.99827576,0.704025269,1.269242287,-1.9915905,292.0356445,3126006,2676613,4167642,0.000322506,0.67597166
2,20120402 03:00,0.069400787,0,94059.625,58.08387756,0.741073608,1.598827362,-2.110668182,293.0095215,4921140,4035222,6443060,0.000346646,0.841032389
2,20120402 04:00,0.050514221,0,93983.4375,51.5093689,0.518218994,1.745290756,-2.195645332,293.8708496,6727028,5363196,8702835,0.000357538,0.829838057
2,20120402 05:00,0.01722908,0,93955.6875,47.96992493,0.174438477,1.559475899,-2.339250565,294.2595215,8272295,6664162,10616426,0.000357538,0.70194332
2,20120402 06:00,0.008481979,5.53E-05,93953.0625,45.75257874,0.246749878,1.960435867,-2.188350677,294.3937988,9684991,7927366,12284202,0.000357956,0.574736842
2,20120402 07:00,0.000621796,0.002921104,93967.5625,52.02906799,0.899963379,1.268947601,-1.727454185,292.9396973,10265230,9136806,13108619,0.000358582,0.42097166
2,20120402 08:00,0,0.002839565,94028.0625,59.86231995,0.548400879,1.523076057,-1.441130638,289.920166,10418208,10287231,13353954,0.000358582,0.094797571
2,20120402 09:00,0,0.001257896,94054.375,69.1516571,0.278839111,1.917653084,-1.038947105,287.855957,10418208,11380830,13353954,0.000358582,0
2,20120402 10:00,0,0,94066.375,77.61380005,0.006378174,2.187084198,-0.898271561,286.1621094,10418208,12451010,13353954,0.000358582,0
2,20120402 11:00,0,0.001883507,94083.3125,84.39167786,0.360565186,1.777992249,-0.838812828,286.0280762,10418208,13496886,13353973,0.000358582,0
2,20120402 12:00,0,0.010520458,94050.875,88.84190369,0.995147705,0.811786652,-0.824969292,285.9851074,10418208,14539752,13353973,0.000358582,0
2,20120402 13:00,0,0.008538246,94047.6875,90.73675537,0.949432373,1.190529823,-0.533532143,285.5556641,10418208,15607305,13353973,0.000358582,0
2,20120402 14:00,0,0.000281334,94028.375,91.62234497,0.116607666,1.126312256,0.161708832,285.2509766,10418208,16677351,13353973,0.000358582,0
2,20120402 15:00,0,0.00039959,94021.3125,91.86013794,0.067565918,0.63166523,0.697566986,284.7993164,10418208,17709024,13353973,0.000358582,0
2,20120402 16:00,0,0.001391411,94007.3125,93.46939087,0.626037598,0.33827877,0.470018387,284.3920898,10418208,18741280,13353973,0.000358582,0
2,20120402 17:00,0,0.001805305,93961,94.93533325,0.897644043,0.329601288,0.537795067,283.6733398,10418208,19778720,13353973,0.000358582,0
2,20120402 18:00,0,0.008280754,93958,94.79792786,0.995147705,0.454683304,0.857217789,283.2592773,10418208,20810640,13353973,0.000358582,0
2,20120402 19:00,0,0.011026382,93980.75,93.66947937,0.983947754,0.339512825,0.763284683,283.064209,10418208,21870784,13353973,0.000358582,0
2,20120402 20:00,0,0.01006097,93996.1875,92.35096741,0.973691404,0.348656654,0.69662571,283.0395508,10418208,22932704,13353973,0.000358582,0
2,20120402 21:00,0.000236511,0.003181458,94023.625,89.37138367,0.949768066,0.154413223,0.698391914,283.5202637,10490392,24034304,13471085,0.000358582,0.014676113
2,20120402 22:00,0.009109497,0.050380707,94084.5,80.25270081,0.819020629,0.558782578,0.277619362,286.831543,11136959,25175216,14297043,0.000616252,0.053117409
2,20120402 23:00,0.096786499,0.067195892,94086.8125,72.92384338,0.773101807,0.082654953,-0.080295563,289.1940918,12210458,26382896,15704310,0.000913203,0.212125506
2,20120403 00:00,0.006790161,0.002185822,94075.625,69.78338623,0.231292725,-0.10573101,-0.741030693,289.9301758,12955819,27641952,16923568,0.000913203,0.426821862
2,20120403 01:00,0.148300171,0.004360199,94163.9375,64.02261353,0.443389893,-0.345542908,-0.359511375,292.1218262,1145337,1317057,1695425,0,0.576700405
2,20120403 02:00,0.016773224,0.000396729,94092.8125,59.98193359,0.050476074,-0.009730339,-0.952425003,293.6083984,2990961,2662099,4034831,0,0.529271255
2,20120403 03:00,0.009845734,0.000136375,94006,55.02600098,0.084320068,0.351641655,-1.402009964,295.4414062,5634670,3933100,7010590,0,0.671761134
2,20120403 04:00,0.028755795,0.001830101,93949,51.5125885,0.832275391,0.695166588,-2.254127502,296.6279297,8154290,5202557,9868673,0,0.729190283
2,20120403 05:00,0.037942607,0.001178741,93907,50.53144836,0.311592639,0.874494553,-2.707424164,296.8217773,10001033,6498985,12074775,0,0.681133603
2,20120403 06:00,0.015995026,0.000563622,93909.5,50.22850037,0.207217455,1.022223473,-2.699419975,296.6628418,11380558,7785098,13773592,0,0.588441296
2,20120403 07:00,0.007362366,0.003708327,93917.5,55.48881531,0.594623089,0.520190239,-1.946448326,295.3234863,12097649,9045076,14717318,0,0.319230769
2,20120403 08:00,0.002386093,0.002119064,93958.8125,62.59489441,0.414329052,0.942706108,-1.968426704,291.7104492,12231680,10249825,14946855,0,0.03048583
2,20120403 09:00,0.000717163,0,94023.25,69.28022766,0.022090748,1.660678864,-1.658209801,289.9682617,12231680,11461438,14946855,0,0
2,20120403 10:00,0.000205994,0,94069.3125,74.35948181,0,1.803199768,-0.793419838,289.7182617,12231680,12628583,14946855,0,0
2,20120403 11:00,6.10E-05,0,94089.375,81.24603271,0,1.071001053,0.539201737,289.6018066,12231680,13795397,14946575,0,0
2,20120403 12:00,0.000179291,0.000447273,94101.125,86.384552,0.525527954,0.095808029,0.756187439,288.0576172,12231680,14960271,14946575,0,0
